Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,VORP/Gm,VORP/Yr
2010,35,35,WAS,Nemanja Bjelica,,7,449,9173,3412,2051,826,0.466,0.384,0.759,20.4,7.6,4.6,1.8,20,0.104,0.3,5.4,0.01202672606,0.7714285714
2010,45,45,MIN,Paulão Prestes,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2010,48,48,MIA,Latavious Williams,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2010,49,49,SAS,Ryan Richards,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2010,53,53,ATL,Pape Sy,,1,3,21,7,3,2,0.333,0,1,7,2.3,1,0.7,0,-0.047,-6,0,0,0
2009,5,5,MIN,Ricky Rubio,,12,698,20694,7570,2830,5160,0.388,0.324,0.843,29.6,10.8,4.1,7.4,42.3,0.098,0.5,13.3,0.01905444126,1.108333333
2009,10,10,MIL,Brandon Jennings,,9,555,16844,7801,1659,3151,0.387,0.345,0.796,30.3,14.1,3,5.7,29.9,0.085,0.8,11.8,0.02126126126,1.311111111
2009,22,22,POR,Victor Claver,,3,80,1072,258,178,56,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2,0.011,-3.6,-0.4,-0.005,-0.1333333333
2009,23,23,SAC,Omri Casspi,,10,588,11959,4642,2355,662,0.454,0.368,0.678,20.3,7.9,4,1.1,19.6,0.078,-0.8,3.5,0.005952380952,0.35
2009,25,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8,0.079,-0.1,1.4,0.007692307692,0.35
2009,30,30,CLE,Christian Eyenga,,2,51,1049,320,137,40,0.411,0.277,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02,-4.2,-0.6,-0.01176470588,-0.3
2009,,,,Round 2,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,,#VALUE!,#DIV/0!
2009,34,34,DEN,Sergio Llull,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2009,39,39,DET,Jonas Jerebko,,9,635,11323,3919,2522,525,0.457,0.363,0.77,17.8,6.2,4,0.8,25.8,0.109,-1,2.9,0.004566929134,0.3222222222
2009,47,47,MIN,Henk Norel,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2009,49,49,ATL,Sergiy Gladyr,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2009,53,53,SAS,Nando De Colo,,2,119,1414,453,211,203,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081,-0.7,0.5,0.004201680672,0.25
2009,57,57,PHO,Emir Preldžić,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
